title,text
"
            PM warns against forces' bid to reverse republicanism
        ","
            PM warns against forces' bid to reverse republicanism
         KATHMANDU, MARCH 13 Prime Minister Pushpa Kamal Dahal has said that one section of society was still hell bent on reversing the republican order, proportional inclusion and the rights won by oppressed classes and groups. He said he could not be defeated by any power of the world as long as he remained committed to the nation and people. Addressing a programme here today, the PM said if anybody had negative views on the peace process and leaders who led the peace process, who played a leading role during the constitution making process, then those elements would not succeed and ultimately the people of the country would succeed. ""Some people are still trying to reverse the current political gains,"" he added. He said the filing of case against him had created ripples in society but that had helped bring all Maoist forces together to unite. He said that after a writ petition was filed seeking to register a case against him, he viewed his responsibility to move ahead with the TRC Act (Amendment) Bill. The PM said since the court order was not against the peace process, there was nothing to worry about. ""We should not worry, but we should remain alert all the time,"" he added, ""If we cannot remain vigilant and if we cannot continue to strengthen the party and unite forward looking revolutionary forces, then those forces that want to weaken us, will continue to do that."" Recently the Supreme Court granted permission to some conflict victims to file case against PM Dahal for his 2020 speech in which he had said he could take responsibility for only 5,000 Maoist insurgency era deaths and not all 17,000 deaths. The Supreme Court, however, refused to issue an interim order against the prime minister. ""A few days ago, it appeared that something was happening against the peace process and the prime minister, but I think that it is helping us because it has inspired all Maoist forces to come together and I am confident that there shall be a broader unity among us,"" the PM added. He said he had immediately called a Cabinet meeting and decided to move the TRC (Amendment) bill ahead and registered the bill in the Parliament. The PM said Maoist forces should develop the constitution by revising it to expand people's rights to build the foundation of socialism. He said progressive provisions in the constitution were incorporated as a result of the sacrifices of people. The PM said he would present the federal education bill this session and try his best to get the bill passed as soon as possible. A version of this article appears in the print on March 14, 2023, of The Himalayan Times."
"
            Ramchandra Paudel sworn in as third president
        ","
            Ramchandra Paudel sworn in as third president
         KATHMANDU, MARCH 13 President Ramchandra Paudel today took oath of office and secrecy as the third president of Nepal. The newly elected president took oath of office and secrecy at a special ceremony before Acting Chief Justice Hari Krishna Karki in accordance with Article 71 of the Constitution of Nepal. At the ceremony, Prime Minister Pushpa Kamal Dahal presented a farewell gift to outgoing President Bidhya Devi Bhandari on behalf of the Government of Nepal. Prime Minister Pushpa Kamal Dahal, National Assembly Chairman Ganesh Prasad Timilsina and other high-ranking government officials were also present on the occasion. Paudel was elected president on March 9. Last week, Chief Election Commissioner Dinesh Kumar Thapaliya submitted a report to President Bhandari saying Ramchandra Paudel had been elected the new pesident in accordance with Article 62 of the constitution and Article 60 of the President and Vice-president Election Act, 2019 (2074). Paudel had defeated CPN-UML candidate Subash Chandra Nembang. Out of 52,628 weightage-based votes, Paudel had secured 33,802 while Nembang got 15,518 votes. The tenure of outgoing President Bidhya Devi Bhandari ended today. Heads of various constitutional bodies were present at the function held at Sheetal Niwas. But Speaker Devraj Ghimire did not participate in the programme as he was on a foreign visit. Former president Bhandari has returned to her private residence, Joint Secretary and Spokesperson for the President's Office Sagar Acharya told THT. President Paudel has traversed a long political journey to make it to the country's highest position. Paudel was born on 14 October 1944 to Durga Prasad Paudel and Rishi Maya Paudel. He hails from Byas Municipality of Tanahun district. He entered politics at the age of 15. He spent 15 years in prison. People close to him say that he rose as a leader because of his politically conscious family background. Paudel, who was once the acting president of Nepali Congress, has held important positions, including deputy prime minister. He was contender for prime minister several times, but he was defeated each time because he could not get majority. Political analyst Vijay Mishra said ""President Ramchandra Paudel is a 'neutral personality' politically."" ""His party and all coalition members appreciated him by voting him as head of state. He is the only controversy-free and untainted leader,""added Mishra. Political Science Professor Lok Raj Baral said, ""Paudel is a veteran and the most experienced politician at the moment and he is a perfect fit for the post of president."" A version of this article appears in the print on March 13, 2023, of The Himalayan Times. "
"
            Nepal's newly elected president takes oath of office
        ","
            Nepal's newly elected president takes oath of office
         KATHMANDU, NEPAL, MARCH 13Nepal's newly elected president - the third since the Himalayan nation abolished its centuries-old monarchy in 2008 and became a republic - took the oath of office Monday in Kathmandu. 











Nepal's newly elected President Ram Chandra Paudel takes oath of office in the Baluwatar-based Sheetal Niwas in Kathmadu on Monday, March 13, 2023. Photo: RSS



 Ram Chandra Poudel was elected Thursday by members of the Federal Parliament and provincial assemblies. Top officials, diplomats and Parliament members lined up to congratulate the new president at the ceremony where the military band played national songs and gave him a salute. Outgoing President Bidhya Devi Bhandari, having completed the maximum two terms in office, passed the position on immediately after the swearing-in ceremony. The president is largely a figurehead with little political power. But the election triggered a feud among partners in the governing alliance headed by Prime Minister Pushpa Kamal Dahal, who took office in December after a hung parliament left a fragile coalition government. Dahal backed Poudel, who is also now the supreme commander of the Nepalese army, angering his main coalition partner, the Communist Party of Nepal (Unified Marxist Leninist), which backed Subash Chandra Nembang, its own candidate. The party has since pulled out of the coalition, threatening Dahal's control. Dahal has since lost the support of three key political parties that were part of his initial coalition government, and must seek a vote of confidence in parliament later in March to continue in power. There was no clear explanation of why Dahal decided to back the opposition candidate and endanger his alliance, but struggles for power among the main political parties are common. The country has had eight different governments in the past 10 years. KATHMANDU, NEPAL, MARCH 13 Nepal's newly elected president - the third since the Himalayan nation abolished its centuries-old monarchy in 2008 and became a republic - took the oath of office Monday in Kathmandu. 
  Ram Chandra Poudel was elected Thursday by members of the Federal Parliament and provincial assemblies. Top officials, diplomats and Parliament members lined up to congratulate the new president at the ceremony where the military band played national songs and gave him a salute. Outgoing President Bidhya Devi Bhandari, having completed the maximum two terms in office, passed the position on immediately after the swearing-in ceremony. The president is largely a figurehead with little political power. But the election triggered a feud among partners in the governing alliance headed by Prime Minister Pushpa Kamal Dahal, who took office in December after a hung parliament left a fragile coalition government. Dahal backed Poudel, who is also now the supreme commander of the Nepalese army, angering his main coalition partner, the Communist Party of Nepal (Unified Marxist Leninist), which backed Subash Chandra Nembang, its own candidate. The party has since pulled out of the coalition, threatening Dahal's control. Dahal has since lost the support of three key political parties that were part of his initial coalition government, and must seek a vote of confidence in parliament later in March to continue in power. There was no clear explanation of why Dahal decided to back the opposition candidate and endanger his alliance, but struggles for power among the main political parties are common. The country has had eight different governments in the past 10 years."
"
            Election officer refuses to revoke Yadav's candidacy
        ","
            Election officer refuses to revoke Yadav's candidacy
         KATHMANDU, MARCH 12 The Election Officer's Office has refused to cancel the candidacy of Ram Sahay Prasad Yadav for the vice-presidential election. Election Officer Mahesh Sharma Paudel informed that Yadav's candidacy would continue. Talking to the media, he said, ""Since it can be said that a male candidate from the Madhes community is more qualified to be a candidate for the vice-president rather than that of Khas-Arya community, the claims of vice-presidential candidates Ashtalakshmi Shakya and Mamta Jha cannot be upheld."" ""That's why, Yadav's nomination letter should not be rejected,"" said Election Officer Paudel. Four people, including Yadav, are competing for the post of the vice-president. The Election Commission has given time till 4:00pm today to the vice-president candidates to withdraw their nominations. Voting for the election of the vice-president will be held on March 17 from 10:00am to 3:00pm at the Federal Parliament building complex in New Baneshwor. The Election Commission has already announced the names of 882 voters in the National Assembly, the House of Representatives and the provincial assemblies The incumbent Vice-president Nanda Bahadur Pun's second term is ending on March 17. Two separate complaints were lodged against the Janata Samajwadi Party's vice-presidential candidate Yadav on behalf of CPNUML and Janamat Party candidates. The complainant claimed that since the male candidate Ramchandra Paudel had been elected as the president, only women could run for the post of vice-president. UML lawmaker Mahesh Bartaula, who had seconded the candidacy of party's official candidate Asta Laxmi Shakya, and Mamata Jha, a vice-presidential candidate from the Janamat Party, had lodged complaint with the Office of the Election Officer against Yadav. They had claimed that the nomination of a male candidate could not be registered for the vice-president's post as a male had already been elected the president. On Friday, the Election Commission had issued a statement saying only women candidates from communities other than Khas-Arya would be registered for the vice-presidential election. Chief Election Commissioner Dinesh Thapaliya had said that the Election Commission would register the candidacy of only female candidates from Dalit, Indigenous nationalities, Muslim, Madhesi or Tharu communities. A total of four candidates - three from the ruling alliance and one from the UML - have registered their nominations for the vice-presidential election. Submitting his clarification today, Yadav claimed that there was a provision in the constitution that the president and vice-president should be from a different gender or community. Yadav has demanded that the complaint against his candidature be scrapped as he belongs to a different community than Paudel, who was elected as the president. Patan High Court Judge Mahesh Sharma Paudel has been appointed as the chief electoral officer for the vice-presidential election. The constitution stipulates that the post of president and vice-president should be a person of different gender or community. Earlier, Chief Election Commissioner Dinesh Kumar Thapaliya had said that only women except the Khas-Arya community could run for the post of vice-president. Article 70 of the constitution states that the election of the president and vice-president shall be done in such a way that different genders or communities are represented."
"
            FSU election: TU bans placement of poster, pamphlet for publicity
        ","
            FSU election: TU bans placement of poster, pamphlet for publicity
         KATHMANDU, MARCH 9 The Tribhuvan University (TU) has prohibited pasting of posters and wall painting in view of the publicity under the Free Students Union (FSU) election scheduled to take place on upcoming March 19. The FSU election code of conduct issued by the TU forbids the placement of any sorts of election-related banner, flex banners and poster in public, according to TU Students Welfare and Sports Directorate Director Pashupati Adhikari. Similarly, the election candidate is allowed to present the election manifesto and the candidate's name on A 4-sized paper and it is to be of unicolor. The campus election committee will provide a common forum for any unions, panels or independent election candidates registered in the committee for an introductory programme and in such event, accusation and counter accusation is banned. The use of mike on the campus premises for the purpose of election publicity and any sorts of strike over the election issue have been prohibited. The election publicity shall be stopped before 48 hours of the time of the commencement of voting. According to the election schedule, the time for the registration of proportional and first-past-the-post (FPTP) candidacies has been fixed from 11:00 am to 2:00 pm on March 11. The election is taking place from 8:00 am to 4:00 pm at 62 TU constituent and 1,040 affiliated campuses across the country on March 19."
"
            Nembang appointed Deputy-leader of UML Parliamentary Party
        ","
            Nembang appointed Deputy-leader of UML Parliamentary Party
         KATHMANDU, MARCH 13 The CPN (UML) has appointed Subas Chandra Nembang as the Deputy-Leader of the UML Parliamentary Party. Party Chairperson and leader of the Parliamentary Party, KP Sharma Oli, on Monday nominated Nembang to the post. Elected as a member of House of Representatives from Ilam-5, Nembang is Vice-Chairperson of the party."
"
            Chitwan-2 by-election: parties granted symbols
        ","
            Chitwan-2 by-election: parties granted symbols
         KATHMANDU, MARCH 9 The Election Commission (EC) has allocated election symbols to 18 political parties for the by-election to the Member of the House of the Representatives taking place in the Chitwan electoral constituency-2 on coming April 23. The parties getting the symbols are Nepal Workers and Peasants' Party, Mongol National Organisation, Rastriya Nagarik Party, Nepali Congress, Rastriya Janamukti Party, Rastriya Janamorcha, CPN (UML), CPN (Maoist Centre), Rastriya Swatantra Party, CPN (Unified Socialist), Nagarik Unmukti Party, Hamro Nepali Party, Puna Jagaran Party Nepal, Maulik Jarokilo Party, Rastriya Mukti Andolan Nepal, Nepali Congress (BP), Rastriya Prajatantra Party and Jaya Janmabhumi Party Nepal. By-election is required in the Chitwan-2 with Rabi Lamichhane, the Chair of Rastriya Swatantra Party, who won the HoR election in the November 20 election was disqualified by the court to hold the post over his Nepali citizenship issue."
"
            UML Chair Oli calls for unity to end VAW
        ","
            UML Chair Oli calls for unity to end VAW
         KATHMANDU, MARCH 8 CPN (UML) Chairperson KP Sharma Oli has stressed the need for all sides of the society to cooperate and create awareness to discourage all sorts of violence against women (VAW). There should be laws in place that root out all sorts of VAW, gender discrimination and violence by booking perpetrators and compensating victims, he said in a message of best wishes today on the occasion of the 113th International Women's Day. He blamed ignorance and evil practices for the existence of remnants of witchcraft, Chhaupadi, dowry, child marriage and racial discrimination. ""Laws and efforts of the state are not enough to end such bad practices. There must be social awakening,"" he said. Stating that Nepali women were always at the forefront in all sorts of movements for changes, and participated in political, economic and social transformation of the country, the former Prime Minister stressed the need for their equal participation in all sectors. ""I want to urge all sisters and brothers to come together for launching a campaign to empower women while educating people to help end VAW and creating the culture of respecting all sisters,"" read the message."
"
            Vice President election: Silence period commencing from midnight today
        ","
            Vice President election: Silence period commencing from midnight today
           KATHMANDU, MARCH 14    The silence period for the election of the Vice President will be commencing from the midnight today. According to the Election Commission, the election silence commences from 48 hours before the day of voting and it will remain in effect until the closure of the polling centre. No election-related publicity and promotional activities are allowed to be held during the election silence or pre-election silence. The voting for the election of the Vice President is scheduled to take place on March 17. The EC earlier issued the Vice President election code of conduct beginning from March 1 and it shall remain in effect till March 19. The EC issued the code of conduct in accordance with the Clause 22 of the Election Commission Act, 2017. As said by EC Spokesperson Shaligram Sharma Poudel, the election silence aims to ensure the election be held in a free, fair, transparent and safe manner. Astalaxmi Shakya (Bohara), Pramila Kumari Yadav, Mamata Jha and Ram Sahay Prasad Yadav filed their nominations for the Vice-President's election and Pramila Kumari withdrew her candidacy, announcing that her support will be for Ram Sahay Prasad."
"
            PM Dahal stresses on quality education
        ","
            PM Dahal stresses on quality education
         KATHMANDU, MARCH 13 Prime Minister Pushpa Kamal Dahal has said the government is making necessary preparations for issuing the Federal Education Act. In his address to the 77th anniversary of the Padmodaya Secondary School here today, the Prime Minister said the government is committed to resolving existing issues in the education sector in package through the Federal Education Act. ""Education is not just a means of social and cultural development, it is the vital component of nation's prosperity and development,"" he said adding that the nation giving priority to the development and quality of the education has the probability of proving itself competent in each fronts. Human resources of such nation will be capable of competing globally. The revision of the educational curricula is necessary to enhance the quality and thus making them life useful, advanced and more vocational as per the need of time, according to the Prime Minister. He stressed the need of coming up with a master plan to improve the quality of government-run schools, accepting the quality difference between the government and private schools. The government is ready to collaborate with intellectual community in its efforts for legal, policy, institutional and structural improvements in the education sector. Describing education as the base of holistic development of the nation and people, he was of the opinion of making science, maths and engineering compulsory subjects from the secondary level and promoting research-based education in the higher level. He also applauded the Padmodaya School for proving its excellence."
