"
            UML rival factions in war of words
        ","
            UML rival factions in war of words
         KATHMANDU, MARCH 16 Leaders of the CPN-UML faction led by Madhav Kumar Nepal and Jhalanath Khanal and those in party Chair and Prime Minister KP Sharma Oli's camp today continued their diatribe against each other. While the PM said he would take action against leaders of the Nepal-Khanal faction if they went ahead with their planned national cadres meet scheduled to begin tomorrow, the rival faction said it would not be cowed down by the PM's threat and would hold the meeting as planned. The Nepal-Khanal faction, which boycotted a tea reception hosted by Oli today, orgainsed a press conference here and said that the Oli faction needed to rescind its March 12 decisions if it wanted to keep party unity intact. On March 12, Oli called a special meeting of the party's Central Committee and unilaterally amended the party statute and divested leaders of the Nepal-Khanal faction of key responsibilities. Surendra Prasad Pandey of the Nepal-Khanal faction said at the press conference that Oli was trying to split the party by not keeping party committees intact as they were before the merger between the UML and CPN-MC. ""If Oli rescinds his March 12 decisions, then that can be the basis of party unity,"" Pandey said. He criticised the PM for acting against the party's rules and statute. ""First, Oli disintegrated the Nepal Communist Party (NCP) and now he is trying to break the UML,"" he added. Lawmaker Yogesh Bhattarai said the PM used the language of threat against leaders of the Nepal-Khanal faction and cadres but they were ready to face action for their cause. Bishnu Rijal said the Nepal-Khanal faction was all set to hold the two-day national cadres meet where around 2,000 leaders and cadres representing all wings of the party would take part. He said a concept paper would be presented in the meeting and it would be passed incorporating suggestions of the participants. A press release issued at the press conference stated that the national cadres' meet was aimed at ending Oli's monopoly and protecting the norms of people's multi-party democracy. Meanwhile, Oli spoke in a similar vein against leaders of the Nepal-Khanal faction at a tea reception organised at Baluwatar. He accused Nepal and Khanal, who did not attend the tea party, of anti-party activities. He said the Nepal-Khanal faction was defying party rules by deciding to organise a national cadres meeting. ""They did not attend the tea reception. I hear that they are going to organise a national cadres meet tomorrow where they will also pass a report. I can no longer tolerate anti-party activities,"" Oli said. Khanal and Nepal had aligned with CPN-MC Chair Pushpa Kamal Dahal before the nullification of the NCP (NCP) and had sought the PM's resignation. They had vehemently opposed Oli's decision to dissolve the House of Representatives, which was eventually reinstated by the Supreme Court last month. The Nepal-Dahal faction of the NCP had removed Oli as party co-chair and sacked him even from the party's general membership. Later, the Supreme Court nullified the NCP and revived CPN-UML and CPN-MC.A version of this article appears in the print on March 17, 2021, of The Himalayan Times."
"
            Oli firm on decision to amend UML statute
        ","
            Oli firm on decision to amend UML statute
         KATHMANDU, MARCH 26 Prime Minister KP Sharma Oli, who chairs CPN-UML, today told the UML's parliamentary party that he would not rescind the March 12 decision to amend the party's statute and induct 23 former Maoist leaders in the party's central committee. The rival faction of the party led by Madhav Kumar Nepal and Jhalanath Khanal had claimed that those decisions violated the party's statute, but Oli said they were taken by valid party bodies. UML lawmakers from the rival faction had boycotted the parliamentary party meeting held on March 18 and 20, but most of them attended today's meeting and challenged Oli's March 12 decision. Lawmaker Jeevan Ram Shrestha told mediapersons that Khanal raised the concerns of lawmakers close to Nepal and Khanal. Khanal told Oli that to keep the party intact he should revive all the party committees that existed before the UML's merger with the CPN-Maoist Centre. UML Chief Whip Bishal Bhattarai told mediapersons that Oli denounced the clarification letter submitted by Madhav Kumar Nepal and Bhim Bahadur Rawal and threatened punitive action against them. Both stayed away from the parliamentary meeting today as well. ""The next central committee meeting will decide the punitive action Nepal and Rawal might face,"" Bhattarai said. Oli said Ghanashyam Bhusal and Surendra Prasad Pandey would furnish a better explanation than Nepal and Rawal. Bhusal and Pandey were also told to furnish an explanation for anti-party activities. According to UML Chief Whip Bishal Bhattarai, the PM said he was ready to listen to personal grievances of party lawmakers, but would not tolerate factionalism within the party. Oli said the House of Representatives would be prorogued soon as the government was preparing to call the budget session in April. Minister of Finance Bishnu Prasad Paudel asked party lawmakers to submit their development project plans for the new fiscal budget. Meanwhile, the Nepal-Khanal faction, which had sided with Pushpa Kamal Dahal in the Nepal Communist Party (NCP), held its central committee meeting here today and decided to fight against Oli from within the party. Raghuji Panta said 60 central committee members, mainly from around Kathmandu valley, took part in the central committee meeting and decided to continue to fight for their cause from within the party. ""We have decided to fight for our cause from within the party to make UML a strong and dynamic party that follows party rules and norms,"" Panta added.A version of this article appears in the print on March 27, 2021, of The Himalayan Times."
"
            PM must seek trust vote by April 5: CPN-MC
        ","
            PM must seek trust vote by April 5: CPN-MC
         KATHMANDU, MARCH 31 Chief Whip of CPN-Maoist Centre Dev Prasad Gurung today said in the House of Representatives that Prime Minister KP Sharma Oli must seek a vote of confidence by April 5. He said the PM was required to seek a vote of confidence within one month of the Supreme Court's verdict that annulled unification between the CPN-UML and CPN-Maoist Centre. A division bench of justices Bam Kumar Shrestha and Kumar Regmi had on March 7 annulled the unification of the two left parties. Speaking in the HoR today, Gurung said that as per Article 100 (2) of the constitution, the PM was required to seek a vote of confidence within a month of the SC verdict nullifying the unification of the CPN-UML and the CPN-MC. He said if the government sought a vote of confidence within 30 days of the SC verdict, it would be considered legal, otherwise questions about the legality of the government would be raised. Article 100 (2) states that in case the prime minister's party splits or a coalition partner withdraws support, the PM should seek a vote of confidence within 30 days. He said the Oli-led government was a caretaker government, whether the PM agreed or not. Gurung said on February 23, the Supreme Court reinstated only the HoR, not the government. He said whenever the House was dissolved, the government of the day became a caretaker government. Gurung said the government was not giving business to the Parliament to prove that the PM was right in dissolving the HoR. ""The PM still seems to be trying to dissolve the House of Representatives. The government has not accepted the Supreme Court's verdict that reinstated the HoR,"" Gurung said. He said the government wanted snap polls, but the constitution had stipulated that the government should complete five years. The SC in its February 23 ruling had said the government must run for five years and the HoR could be dissolved only when the HoR failed to give a new government. A version of this article appears in the print on April 1, 2021, of The Himalayan Times."
"
            Nepali Congress demands action against Rampur incident culprits
        ","
            Nepali Congress demands action against Rampur incident culprits
         KATHMANDU, APRIL 17 Nepali Congress Parliamentary Party has condemned the attack on Nepal Students Union (NSU) leaders in Rampur Agriculture Campus, Chitwan. Issuing a press release, NC chief whip Balkrishna Khand stated that the college was a place for learning and conducting academic activities peacefully, but such an incident creates stress among the students. He added, it was surprising that the local administration remained a mute spectator. Leader Khand has further demanded that treatment of injured students be carried out. An unidentified armed group had attacked students Dipesh Baniya, Khemraj Upadhyay, Sonam Lama, and Himal Acharya."
"
            Five parties in NA by-election fray
        ","
            Five parties in NA by-election fray
         KATHMANDU, APRIL 29 Five political parties are set to participate in a by-election to the National Assembly seat lying vacant in Bagmati Province. Spokesperson of the National Election Commission Raj Kumar Shrestha said that Nepal Workers and Peasants Party, CPN-UML, Nepali Congress, Rastriya Prajatantra Party and CPN-Maoist Centre have registered their parties at the election commission for by-election. The ballot paper for the by-election will reflect election symbols and serial numbers of the contesting political parties. As per the ballot paper, CPN-UML will have the election symbol of 'Sun' while Nepali Congress has 'Tree' as its electoral symbol. CPN-Maoist Centre has the symbol of 'sickle and hammer in a circle'. The NWPP has the electoral symbol of 'Madal'. The Election Commission has decided to publish in the Nepal Gazette a calendar for the by-election to be held on 20 May 2021 for the vacant National Assembly seat in Bagmati Province as per the Clause 48 (930) of the Political Party Act 2016. It has also decided to determine the election symbol for political parties which are registered for contesting the election. A version of this article appears in the print on April 30, 2021, of The Himalayan Times."
"
            NA by-poll voting ends; 337 cast votes, 10 absent
        ","
            NA by-poll voting ends; 337 cast votes, 10 absent
         HETAUDA, MAY 29 Voting for the vacant post of National Assembly from Bagmati Province has ended. In the by-poll held Thursday, 337 votes were cast while 10 voters remained absent. The voting was open till 3 pm. Four of the ten absentees were members of the Bagmati Province Assembly while other six were local representatives. Chairperson of Helambu Rural Municipality, Sindhupalchowk, Nima Gyanjen Sherpa; Vice-Chair of Mailung Rural Municipality, Dolakha, Kopila Pandit; Chair of Bigu Municipality, Yudhisthir Khadka; and Chair of Khaniyabas Municipality, Dhadhing, Rana Bahadur Tamang -- all from Nepali Congress, were absent. Likewise, from the CPN-UML, Vice Chair of Mailung Rural Municipality, Kalpana Bhandari was absent. Mayor of Bhaktpur, Sunil Prajapati from Nepal Majdoor Kisan Party also did not take part in the voting process. Likewise, Biraj Bhakta Shrestha, Shobha Shakya and Ramesh Poudyal from Bibeksheel Sajha Party, and CPN- Maoist Centre lawmaker Himali Gole abstained from casting their votes. Of the total 348 votes, 105 votes were from members of Bagmati Province Assembly and 232 from local representatives. In an unfortunate incident, one of the voters passed away recently. As many as 20 local representatives and five provincial members who are Covid-19 positive also cast their votes today."
"
            NEA cut power supply to international cricket stadium
        ","
            NEA cut power supply to international cricket stadium
         CHITWAN, DECEMBER 23 Power supply to the Gautam Buddha International Cricket Stadium has been cut after it failed to pay electricity tariff dues. The construction works of the stadium have been stagnated for the past five months. Nepal Electricity Authority (NEA) Bharatpur Transmission Centre on Wednesday disrupted power supply to the stadium for not paying bills. According to Engineer at Transmission Centre, Rajendra Poudel, the tariff dues have reached Rs 887,000. The Dhurmus Suntali Foundation that spearheaded the cricket stadium construction works had walked away from their responsibility after facing financial crisis. The Foundation has urged Bharatpur Metropolis to take ownership of the stadium saying the Foundation has yet to clear off the dues over Rs 170 million. The NEA has also cut off power supply to the Mount Everest Brewery as it has yet to pay electricity tariff dues over Rs 3.74 million. Along with this, the NEA has cut off the line of 12 small firms and organization for no regular payment of tariff."
"
            Provincial hospital's service to be improved
        ","
            Provincial hospital's service to be improved
         CHITWAN, SEPTEMBER 21 Chief Minister of Bagmati Province Asta Laxmi Shakya has urged hospitals under the provincial government to provide effective services. Inaugurating the PCR Lab and Oxygen Plant at Bakullahar Ratnanagar Hospital in eastern Chitwan today, Chief Minister Shakya said that additional means and resources would be provided to the hospital. The province government had provided PCR lab machine and oxygen plant to the hospital. She opined, ""Problem has surfaced on the managerial side due to delay of federal government in handing over the provincial hospital to the province government."" The CM further said that PCR machine and oxygen plant are in operation at hospitals in 13 districts of the province. Health Minister of Bagmati Province Pradeep Kumar Katuwal, Social Development Minister Bijay Subedi, former minister of state for education Sheshnath Adhikari, former minister of Agriculture, Cooperatives and Land Management Dawa Dorjee Lama, and Mayor of Ratnanagar Municipality Narayan Ban among others, were present on the occasion. Medical Superintendent of the hospital Dr Bishwo Bandhu Bagale briefed CM Shakya about the activities of the hospital. The health post established in 1967 has now been upgraded to provincial hospital. Bagale complained that although it had got approval to run a 50-bed hospital, only 43 beds were now in operation at the hospital.A version of this article appears in the print on September 22 2021, of The Himalayan Times."
"
            Bagmati provincial govt splits ministries
        ","
            Bagmati provincial govt splits ministries
         HETAUDA, DECEMBER 3 Bagmati Chief Minister Rajendra Prasad Pandey has split ministries into 14. As per the decision of the provincial Cabinet held a fortnight ago, the provincial government has published a notice regarding the same in Nepal Gazette. Former chief minister Dormani Poudel had governed with seven ministries for 42 months while Astalaxmi Shakya had split Ministry of Social Development into Ministry of Health and increased the number to eight. Pandey's government has split Ministry of Industry, Tourism, Forest and Environment and formed the Ministry of Industry, Commerce and Supplies, Ministry of Culture and Tourism and Ministry of Forest and Environment. Likewise, Ministry of Land Management, Agriculture and Cooperative has been split into Ministry of Agriculture and Livestock, and Ministry of Land Management, Cooperative and Poverty Alleviation. Ministry of Physical Infrastructure has been split into Ministry of Drinking Water, Energy, and Irrigation, Ministry of Labour Employment and Transport and Ministry of Physical Infrastructure. Ministry of Social Development has been split into two adding Ministry of Youth and Sports. The province government has split ministries and made 14 ministries to share power among the parties. The addition of ministries is sure to add financial burden to the province government.A version of this article appears in the print on December 4, 2021 of The Himalayan Times."
"
            Rural municipality chair, 26 others booked for graft
        ","
            Rural municipality chair, 26 others booked for graft
         KATHMANDU, MARCH 31 The Commission for the Investigation of Abuse of Authority today filed a charge-sheet against 27 persons, including the chairperson of Likhu Tamakoshi Rural Municipality, Ramechhap, at the Special Court for embezzling around Rs 42.1 million during an electrification programme. Among those sued by the anti-graft body include rural municipality Chairperson Govinda Bahadur Khadka, Chief Administrative Officer Raju Prasad Neupane, accountant Durga Bahadur Dimdong, proprietor of Kathmandu-based Pike Construction Pvt Ltd., and 21 officials of various electrification users' committees. According to the CIAA, rural municipality chairperson Khadka in cahoots with other defendants had procured construction materials and equipment for electrification in the wards 1, 4 and 5 of the local level without inviting tenders. He unilaterally formed electrification users' committee at each ward to serve himself in misusing the state fund. It has also been found that Khadka did not even conduct a technical audit of the electrification. The construction materials were procured from the Pike Construction Pvt Ltd directly in contravention of the existing Public Procurement Act and Rule. As per the law, any public body is required to make procurement through open competition among qualified bidders by inviting tender. CIAA spokesperson Shyam Prasad Bhandari said the anti-graft body had sought maximum punishment against the defendants, along with a fine equivalent to the amount in question under the Prevention of Corruption Act, 2002. A version of this article appears in the print on April 1, 2022, of The Himalayan Times."
